cluster,gene,logfoldchanges,pvals_adj,scores
0,axo12.D2,-2.0249436,3.1771771829580737e-32,-11.83249
0,axo3.C11,-1.2152548,2.965864630213678e-32,-11.838347
0,axo14.B8A,-1.2422699,2.800159818346356e-32,-11.843252
0,axo15.G5,-1.5210493,1.5345393797451275e-32,-11.893659
0,axo14.H7A,-1.2456294,1.5345393797451275e-32,-11.893722
0,axo21.H7B,-1.8081095,8.044812673233357e-33,-11.947625
0,axo9.F6A,-1.3027939,6.564255222305609e-33,-11.964602
0,axo10.C12B,-1.4562995,6.461346844257074e-33,-11.965997
0,axo3.F10,-1.2207937,5.1498933919292136e-33,-11.984894
0,axo6.D5B,-1.4390377,4.6331252483258364e-33,-11.993736
0,axo6.C11B,-1.1805309,4.311461161371304e-33,-11.999777
0,axo10.D3,-1.379875,3.5009329900118696e-33,-12.017083
0,axo9.E2A,-1.3039546,2.6640965795020855e-33,-12.039722
0,axo29.A5B,-1.1159275,2.061213324617955e-33,-12.060953
0,axo9.H10A,-1.3918862,1.6275444253516165e-33,-12.080474
0,axo14.B11A,-1.1927656,1.6160453627516863e-33,-12.08114
0,axo12.A1,-1.6094878,1.604218241815505e-33,-12.081826
0,axo6.F4B,-1.4584522,1.4688356190948271e-33,-12.089155
0,axo29.F4A,-1.2942767,1.212118337210839e-33,-12.105011
0,axo15.D5,-1.4825453,9.580012160582196e-34,-12.124385
0,axo6.G6B,-1.3264114,6.755250016310274e-34,-12.153057
0,axo6.F9B,-1.4170976,4.9081766180511025e-34,-12.17922
0,axo10.D5,-1.3176374,4.427178733108732e-34,-12.187713
0,axo6.D12B,-1.6049302,4.074923744879229e-34,-12.194551
0,axo3.A1,-1.3128905,4.058761942984675e-34,-12.194958
0,axo29.G1A,-0.8979241,4.043363283324867e-34,-12.19535
0,axo14.B4A,-1.2991966,3.720184595658199e-34,-12.202216
0,axo29.A11B,-1.1878489,2.727630962321147e-34,-12.227539
0,axo9.A8A,-1.3890158,2.4239363436270914e-34,-12.237208
