Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
AXO14.C3A,True,False,False,1
AXO14.C4A,True,False,False,1
AXO14.C5A,True,False,False,1
AXO14.C6A,True,False,False,1
AXO14.C8A,True,False,False,1
AXO14.C9A,True,False,False,1
AXO14.D11A,True,False,False,1
AXO14.D12A,True,False,False,1
AXO14.D1A,True,False,False,1
AXO14.D2A,True,False,False,1
AXO14.D3A,True,False,False,1
AXO14.D5A,True,False,False,1
AXO14.D6A,True,False,False,1
AXO14.D7A,True,False,False,1
AXO14.D8A,True,False,False,1
AXO14.D9A,True,False,False,1
AXO14.E10A,True,False,False,1
AXO14.E11A,True,False,False,1
AXO14.E2A,True,False,False,1
AXO14.E3A,True,False,False,1
AXO14.E4A,True,False,False,1
AXO14.E5A,True,False,False,1
AXO14.E6A,True,False,False,1
AXO14.E7A,True,False,False,1
AXO14.E8A,True,False,False,1
AXO14.E9A,True,False,False,1
AXO14.F10A,True,False,False,1
AXO14.F11A,True,False,False,1
AXO14.F12A,True,False,False,1
AXO14.F1A,True,False,False,1
AXO14.F2A,True,False,False,1
AXO14.F4A,True,False,False,1
AXO14.F5A,True,False,False,1
AXO14.F6A,True,False,False,1
AXO14.F8A,True,False,False,1
AXO14.G10A,True,False,False,1
AXO14.G11A,True,False,False,1
AXO14.G12A,True,False,False,1
AXO14.G1A,True,False,False,1
AXO14.G2A,True,False,False,1
AXO14.G3A,True,False,False,1
AXO14.G5A,True,False,False,1
AXO14.G6A,True,False,False,1
AXO14.G7A,True,False,False,1
AXO14.G8A,True,False,False,1
AXO14.G9A,True,False,False,1
AXO14.H12A,True,False,False,1
AXO14.H1A,True,False,False,1
AXO14.H2A,True,False,False,1
AXO14.H3A,True,False,False,1
AXO14.H4A,True,False,False,1
AXO14.H5A,True,False,False,1
AXO14.H6A,True,False,False,1
AXO14.H7A,True,False,False,1
AXO14.H8A,True,False,False,1
AXO14.H9A,True,False,False,1
AXO15.A10B,True,False,False,1
AXO15.A11,True,False,False,1
AXO15.A11B,True,False,False,1
AXO15.A12,True,False,False,1
AXO15.A12B,True,False,False,1
AXO15.A1B,True,False,False,1
AXO15.A2,True,False,False,1
AXO15.A2B,True,False,False,1
AXO15.A3B,True,False,False,1
AXO15.A4,True,False,False,1
AXO15.A5,True,False,False,1
AXO15.A5B,True,False,False,1
AXO15.A6,True,False,False,1
AXO15.A6B,True,False,False,1
AXO15.A7,True,False,False,1
AXO15.A7B,True,False,False,1
AXO15.A8B,True,False,False,1
AXO15.A9,True,False,False,1
AXO15.A9B,True,False,False,1
AXO15.B1,True,False,False,1
AXO15.B10B,True,False,False,1
AXO15.B11B,True,False,False,1
AXO15.B12,True,False,False,1
AXO15.B12B,True,False,False,1
AXO15.B1B,True,False,False,1
AXO15.B3B,True,False,False,1
AXO15.B4B,True,False,False,1
AXO15.B5,True,False,False,1
AXO15.B5B,True,False,False,1
AXO15.B6,True,False,False,1
AXO15.B6B,True,False,False,1
AXO15.B7,True,False,False,1
AXO15.B7B,True,False,False,1
